,Unnamed: 0,num_prom,last_gift,months_since_donate,avg_gift,target,log_largest_gift,sqrt_largest_gift,inv_largest_gift,boxcox_largest_gift,sigmoid_largest_gift,log_avg_gift,sqrt_avg_gift,inv_avg_gift,boxcox_avg_gift,abs_avg_gift,sigmoid_avg_gift,target,type
0,0,74,5.0,36,5.628571429,1,2.3978952727983707,3.1622776601683795,0.09090909090909091,1.6576860754190867,0.9999546021312976,1.8913893102415515,2.3724610489953255,0.15086206895576323,1.4141428979345672,5.628571429,0.996419162948369,1,train
1,1,44,12.0,31,10.0,0,2.833213344056216,4.0,0.058823529411764705,1.8417213403846995,0.9999998874648379,2.3978952727983707,3.1622776601683795,0.09090909090909091,1.6672569344367603,10.0,0.9999546021312976,0,train
2,2,63,20.0,34,13.71428571,1,3.4339872044851463,5.477225575051661,0.03225806451612903,2.0560159228910817,0.9999999999999065,2.6888188388830603,3.7032803985115685,0.0679611650683382,1.7949255575812113,13.71428571,0.9999988934758106,1,dev
3,3,74,18.0,36,12.92307692,0,2.9444389791664403,4.242640687119285,0.05263157894736842,1.8846598491143063,0.9999999847700205,2.6335476735832946,3.594868136663708,0.07182320443576204,1.7715871849899292,12.92307692,0.9999975589428665,0,train
4,4,55,10.0,28,5.9375,1,2.3978952727983707,3.1622776601683795,0.09090909090909091,1.6576860754190867,0.9999546021312976,1.936941479072553,2.436698586202241,0.14414414414414414,1.4386440252356532,5.9375,0.9973683260251155,1,train
5,5,63,10.0,36,9.615384615,0,2.772588722239781,3.872983346207417,0.0625,1.8176461546235168,0.999999694097773,2.362304327659436,3.100868364668194,0.09420289855413778,1.6507959015669127,9.615384615,0.9999333097176463,0,train
6,6,27,12.0,29,11.0,1,3.044522437723423,4.47213595499958,0.047619047619047616,1.9219746301768261,0.9999999979388463,2.4849066497880004,3.3166247903554,0.08333333333333333,1.7067099659573004,11.0,0.999983298578152,1,train
7,7,70,10.0,31,3.52631579,1,2.3978952727983707,3.1622776601683795,0.09090909090909091,1.6576860754190867,0.9999546021312976,1.5099083172033463,1.877848713288693,0.22093023253244998,1.1941216834911619,3.52631579,0.9714273297885502,1,train
8,8,25,6.0,32,6.666666667,0,2.4849066497880004,3.3166247903554,0.08333333333333333,1.696611544985197,0.999983298578152,2.0368819273045182,2.581988897536161,0.13043478260302457,1.4911486764018005,6.666666667,0.9987289837373416,0,train
9,9,55,10.0,32,10.64285714,1,2.772588722239781,3.872983346207417,0.0625,1.8176461546235168,0.999999694097773,2.454692870946105,3.26233921289617,0.08588957057322444,1.6931361808471024,10.64285714,0.9999761298303516,1,train
10,10,60,30.0,31,20.25,1,3.4339872044851463,5.477225575051661,0.03225806451612903,2.0560159228910817,0.9999999999999065,3.056356895370426,4.5,0.047058823529411764,1.939929545589532,20.25,0.999999998394772,1,train
11,11,48,3.0,19,8.0,1,2.5649493574615367,3.4641016151377544,0.07692307692307693,1.7314472686883406,0.9999938558253978,2.1972245773362196,2.8284271247461903,0.1111111111111111,1.5719138671287765,8.0,0.9996646498695336,1,train
12,12,15,25.0,35,25.0,0,3.258096538021482,5.0,0.038461538461538464,1.9976048541264817,0.999999999986112,3.258096538021482,5.0,0.038461538461538464,2.0124800398714684,25.0,0.999999999986112,0,train
